090577545S05VKAZOLLA              01329068430030009177810000000
097004764S07KWBAYCEDAR            00155440511113900296910325000
100580575S05GZBEETLE              00787690230030013162470000000
121559640M07PLBLUESTAR            00257541618414203757260000000
135465214M04EWCHARA               00252167418029902400390222300
146269973S06EMCOWSLIP             00257128218384602425530162500
233817391S04GTELDER               00006115200437200000000000000
243944218M02DXFIELDCRESS          00306380421906105029230000000
252988773M08SVFOXGLOVE            00301074921526804911540000000
278709980M07RKGALLWIN             00264444300000002455380000000
295341463M06LPGILEDGE             00230850000000003123720000000
301613050S06GPGOLDBEARD           00774001830030020861312600000
307021795M06XBHAWTHORN            00360140725750005002170000000
321196472S08TNHOLLEY              00163266311673502091720000000
323341644M08KLKASUMI              00213855615290602431050000000
333617396M00HRKOUSA               00296883021227104880880000000
343287610M08FULAUREL              00240000017160001437000000000
365833324M07FFLOOPER              00583063230030007434570000000
382873761M01MBMIYAMA              01230774030030001458120000000
408939482S01RAGUMOMI              00181485012976101880190000000
432271666M04MVMULLEIN             00249219017819100189930000000
447828325S07HCNINGALA             00240975017229701313670000000
494999486M06PVOROBUS              00291059720810700621690000000
565564793M07WPPINEMAT             00323407823123600815280000000
571965831S07GKPINYON              00239999717159900300000000000
598766029S09NLREDBEAD             00460514700000000000000000000
621684306M10SXREDSPUR             00191075413661803108360000000
635201075M04FWRUSH                00288318620614702851650000000
644049698M07NVSALAL               00240000017160002415000000000
650696932M08PGSANDREED            00375000026812508085600000000
662200504S09SMSEAKALE             00272975419517702970150000000
735197841M05HBSOTOL               00496153530030006303601300000
769559740S04EFSPURGALL            01309447830030015098826805500
781351160M03EGSUMAC               00240000317160001518000000000
806248407S06DWTAMARACK            00239999717159901845000000000
836020138M04KWTARBUSH             00240000017160001380000000000
846787415M05EBTHORNAPPLE          00255866718294402170860000000
865518116M00GVTORINGO             00519179130030009151291300000
871506778M04SLTUPELO              00239999717159901440000000000
910381421M04TMWHITEBUSH           00555240030030005550000000000
942251634M09ECWHITEFLY            00254136318170702835600000000
957375668M05RRWHITEBUD            00289880120726403374610221000
983208960S06FCWILLOW              00144689710345300900000000000
992621849M07NPWINGSTIM            00477005130030004542961040000
