100580575S05GZBEETLE              007876902300300131624700000003
154946118M06LJCUTCOLLAR           001817316129938018893700260001
252988773S08SOFOXGLOVE            003010749215268049115400000002
306733796M07HLGREENBRIAR          001035603074045004071300000001
332334164M08KLKASADA              002138556152906024310500000002
343287610M08FQULAUREL             002400000171600014370000000003
408939482M01SRAMITH               001814850129761018801900000002
464526787M09KROAK                 002400000171600014400000000001
565564793M07WPPINESTRAW           003234078231236008152800000002
621684306M10SJREDSPUR             001910754136618031083600000003
644049698M07NAJONES               002400000171600024150000000002
671879822M06ESSKYBLUE             002230920159510020498100000001
712643272M09HFSNOWHILL            004231407300300030064500000003
806248407M06DWPARKINSON           002399997171599018450000000002
890364396S01KYWATERSTAR           005920914300300082319400000001
942251634M09ECLANCASTER           002541363181707028356000000002
983208960S06FXWILLOW              001446897103453009000000000001
